,key,value
0,Agate Gray,0
1,Ale Brown,1
2,Alien,2
3,Aloe Verde,3
4,Alvah,4
5,Amarillo,5
6,Analog,6
7,Anthracite,7
8,Antlia,8
9,Aqua,9
10,Atmosphere Grey,10
11,Azael,11
12,Bamboo,12
13,Barely Volt,13
14,Beach,14
15,Beige,15
16,Bio Beige,16
17,Black,17
18,Black-Neon Green,18
19,Blue,19
20,Blue Fury,20
21,Blue Jay,21
22,Blue Lagoon,22
23,Blue Tint,23
24,Blue Void,24
25,Blush,25
26,Bone,26
27,Bone White,27
28,Bordeaux,28
29,Bright Blue,29
30,Bright Crimson,30
31,Brown,31
32,Brown Kelp,32
33,Brownstone,33
34,Butter,34
35,Camo,35
36,Canapa,36
37,Cargo Khaki,37
38,Cherrywood Red,38
39,Cinder,39
40,Citrin,40
41,Clay,41
42,Clear Granite,42
43,Cloud White,43
44,College Navy,44
45,Collegiate Red,45
46,Collegiate Royal,46
47,Concord,47
48,Cool Grey,48
49,Core Black,49
50,Core White,50
51,Court Purple,51
52,Crayon White,52
53,Cream,53
54,Crystal White,54
55,Cyber,55
56,Dark Army,56
57,Dark Grey,57
58,Dark Powder Blue,58
59,Daybreak,59
60,Desert Ore,60
61,Desert Sage,61
62,Desert Sand,62
63,EQT Yellow,63
64,Earth,64
65,Earth Brown,65
66,Fir,66
67,Fire Red,67
68,Flax,68
69,Footwear White,69
70,Fossil,70
71,French Blue,71
72,Frosted Spruce,72
73,Game Royal,73
74,Geode,74
75,Ghost Green,75
76,Glow,76
77,Golden Harvest,77
78,Grass,78
79,Green,79
80,Grey,80
81,Grey Three,81
82,Gym Red,82
83,Habanero Red,83
84,Harbor Blue,84
85,Hospital Blue,85
86,Hyper Blue-Electro Orange-Black,86
87,Hyper Royal,87
88,Hyper Teal,88
89,Hyper Turquoise,89
90,Ice Blue,90
91,Inertia,91
92,Infrared,92
93,Iron Grey,93
94,Jetstream,94
95,Khaki,95
96,Kumquat,96
97,Legend Blue,97
98,Light Bone,98
99,Light Brown,99
100,Light Cream,100
101,Light Grey,101
102,Light Smoke Grey,102
103,Lime Green,103
104,Linen,104
105,Lotus Pink,105
106,Loyal Blue,106
107,Lundmark,107
108,Magnet,108
109,Mahogany,109
110,Maroon,110
111,Mars Stone,111
112,Marsh,112
113,Marshmallow,113
114,Mauve,114
115,Medium Grey,115
116,Medium Olive,116
117,Metallic Gold,117
118,Metallic Silver,118
119,Midnight Navy,119
120,Milk,120
121,Mint Leaf,121
122,Mist,122
123,Multi-Color,123
124,Muslin,124
125,Natural,125
126,Navy,126
127,Navy Heather,127
128,Net,128
129,Neutral Grey,129
130,New York Blue,130
131,Nightshade,131
132,Noble Red,132
133,Obsidian,133
134,Oil,134
135,Olive,135
136,Orange Peel,136
137,Orange Pulse,137
138,Pale Grey,138
139,Pale Ivory,139
140,Pale Vanilla,140
141,Particle Beige,141
142,Phantom,142
143,Pine Green,143
144,Pink,144
145,Pink Tint,145
146,Platinum Tint,146
147,Pony,147
148,Pool Blue,148
149,Pure Platinum,149
150,Purple,150
151,QNTM,151
152,Raw Indigo,152
153,Raw Umber,153
154,Red,154
155,Red Bark,155
156,Reflective Silver,156
157,Resin,157
158,Retro,158
159,Retro Black,159
160,River Rock,160
161,Rope,161
162,Rose Gold,162
163,Running White,163
164,Sail,164
165,Salt,165
166,Sand,166
167,Scarlet,167
168,Scuba Blue,168
169,Semi Frozen Yellow,169
170,Sequoia,170
171,Sesame,171
172,Shimmer,172
173,Shy Pink,173
174,Slate,174
175,Smoke Grey,175
176,Snake,176
177,Soft Vision,177
178,Solid Grey,178
179,Space Purple,179
180,Sport Royal,180
181,Stadium Green,181
182,Static,182
183,Steel Blue,183
184,Steeple Gray,184
185,Stone,185
186,String,186
187,Sulfur,187
188,Summit White,188
189,Super Moon Yellow,189
190,Synth,190
191,Tail Light,191
192,Tangerine,192
193,Teal Blue,193
194,Team Orange,194
195,Team Red,195
196,Tecgol,196
197,Tech Olive,197
198,Tephra,198
199,Total Orange,199
200,True White,200
201,Tulip Pink,201
202,Turbo Green,202
203,Turquoise,203
204,Turtledove,204
205,Tyrian,205
206,University Blue,206
207,University Gold,207
208,University Red,208
209,Utility Black,209
210,Valerian Blue,210
211,Vanta,211
212,Varsity Maize,212
213,Varsity Red,213
214,Varsity Royal,214
215,Vintage White,215
216,Viotech,216
217,Volt,217
218,Voltage Purple,218
219,Washed Denim,219
220,Wheat,220
221,White,221
222,Wolf Grey,222
223,Yecheil,223
224,Yeezreel,224
225,Yellow,225
226,Yellow Ochre,226
227,Yeshaya,227
228,Zen Grey,228
229,white,229
